id,run_id,row_order,time_h,time_s,date_col,time_of_day,efficiency_pct,current_a,voltage_v,avg_voltage_v,current_density_ma_cm2,hfr,h2o2_current_a,h2o2_current_density_ma_cm2,strip_1,strip_2,peroxide_in_di,gas_lpm,water_flow_ml_s,conductivity_us_cm,diff_pressure_mbar,anode_flow_ml_s,stk_temp_an_out,stk_temp_ca_out,throughput_g_h,avg_throughput_g_h,extra_data
20749,b7cf2d62-d939-4391-92c3-7d6d8516c7fb,0,18.0,64800.0,1-3-2023,09:30,44.0,35.0,1.89,,,,15.3,,4432.0,4336.0,,,0.61,,,,,,9.7,9.7,"{'Cell #': 1.0, 'Average': 4384.0, 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': 0.0, 'Setpoint V (V)': 2.1, 'Average efficiency (%)': 43.7, 'Current density (mA/cm2)': 3.94, 'H2O2 current density (mA/cm2)': 31.9}"
20750,b7cf2d62-d939-4391-92c3-7d6d8516c7fb,1,42.0,151200.0,2-3-2023,09:30,42.0,35.0,1.885,,,,14.75,,4190.0,4360.0,,,0.61,,,,,,9.36,9.36,"{'Cell #': 1.0, 'Average': 4275.0, 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': -1.6, 'Setpoint V (V)': 2.1, 'Average efficiency (%)': 42.2, 'Current density (mA/cm2)': 3.93, 'H2O2 current density (mA/cm2)': 30.7}"
20751,b7cf2d62-d939-4391-92c3-7d6d8516c7fb,2,66.0,237600.0,3-3-2023,09:30,33.0,35.0,1.853,,,,11.47,,4358.75,2630.0,,,0.58,,,,,,7.28,7.28,"{'Cell #': 1.0, 'Average': 3494.0, 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': -9.4, 'Setpoint V (V)': 2.1, 'Average efficiency (%)': 32.8, 'Current density (mA/cm2)': 3.86, 'H2O2 current density (mA/cm2)': 23.9}"
20752,b7cf2d62-d939-4391-92c3-7d6d8516c7fb,3,138.0,496800.0,6-3-2023,09:30,37.0,35.0,1.846,,,,13.06,,4098.0,4224.0,,,0.55,,,,,,8.28,8.28,"{'Cell #': 1.0, 'Average': 4161.0, 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': 4.5, 'Setpoint V (V)': 2.1, 'Average efficiency (%)': 37.3, 'Current density (mA/cm2)': 3.85, 'H2O2 current density (mA/cm2)': 27.2}"
20753,b7cf2d62-d939-4391-92c3-7d6d8516c7fb,4,163.0,586800.0,7-3-2023,10:30,34.0,35.0,1.847,,,,11.96,,3980.0,4100.0,,,0.52,,,,,,7.59,7.59,"{'Cell #': 1.0, 'Average': 4040.0, 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': -3.1, 'Setpoint V (V)': 2.1, 'Average efficiency (%)': 34.2, 'Current density (mA/cm2)': 3.85, 'H2O2 current density (mA/cm2)': 24.9}"
20754,b7cf2d62-d939-4391-92c3-7d6d8516c7fb,5,191.0,687600.0,8-3-2023,14:30,35.0,35.0,1.842,,,,12.22,,3408.0,3808.0,,,0.6,,,,,,7.75,7.75,"{'Cell #': 1.0, 'Average': 3608.0, 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': 0.7, 'Setpoint V (V)': 2.1, 'Average efficiency (%)': 34.9, 'Current density (mA/cm2)': 3.84, 'H2O2 current density (mA/cm2)': 25.5}"
20755,b7cf2d62-d939-4391-92c3-7d6d8516c7fb,6,215.0,774000.0,9-3-2023,14:30,32.0,35.0,1.842,,,,11.05,,3744.0,3712.0,,,0.52,,,,,,7.01,7.01,"{'Cell #': 1.0, 'Average': 3728.0, 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': -3.3, 'Setpoint V (V)': 2.1, 'Average efficiency (%)': 31.6, 'Current density (mA/cm2)': 3.84, 'H2O2 current density (mA/cm2)': 23.0}"
20756,b7cf2d62-d939-4391-92c3-7d6d8516c7fb,7,234.0,842400.0,10-3-2023,09:30,10.0,35.0,1.783,,,,3.41,,1004.0,1120.0,,,0.57,,,,,,2.17,2.17,"{'Cell #': 1.0, 'Average': 1062.0, 'Comments': 'current pulsing', 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': -21.8, 'Setpoint V (V)': 2.1, 'Average efficiency (%)': 9.8, 'Current density (mA/cm2)': 3.71, 'H2O2 current density (mA/cm2)': 7.1}"
20757,c84e6f4c-bd62-4f18-bb7b-8686a8e7d0cf,0,2.0,7200.0,13-3-2023,12:30,42.0,35.0,1.78,,,,14.61,,4024.0,3928.0,,,0.65,,,,,,9.27,9.27,"{'Cell #': 1.0, 'Average': 3976.0, 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': 0.0, 'Setpoint V (V)': 2.01, 'Average efficiency (%)': 41.7, 'Current density (mA/cm2)': 3.71, 'H2O2 current density (mA/cm2)': 30.4}"
20758,c84e6f4c-bd62-4f18-bb7b-8686a8e7d0cf,1,4.0,14400.0,13-3-2023,14:30,38.0,35.0,1.78,,,,13.45,,4369.31,4162.07,,,0.56,,,,,,8.53,8.53,"{'Cell #': 1.0, 'Average': 4266.0, 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': 0.0, 'Setpoint V (V)': 2.02, 'Average efficiency (%)': 38.4, 'Current density (mA/cm2)': 3.71, 'H2O2 current density (mA/cm2)': 28.0}"
20759,c84e6f4c-bd62-4f18-bb7b-8686a8e7d0cf,2,25.0,90000.0,14-3-2023,11:30,35.0,35.0,1.781,,,,12.25,,3870.0,3960.0,,,0.55,,,,,,7.77,7.77,"{'Cell #': 1.0, 'Average': 3915.0, 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': 0.0, 'Setpoint V (V)': 2.02, 'Average efficiency (%)': 35.0, 'Current density (mA/cm2)': 3.71, 'H2O2 current density (mA/cm2)': 25.5}"
20760,94771ba7-706a-489f-8fcb-e0dd4a755471,0,2.0,7200.0,15-3-2023,13:00,34.0,35.0,,,,,11.76,,3800.0,3928.0,,,0.54,,,,,,7.46,7.46,"{'Cell #': 1.0, 'Average': 3864.0, 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': 0.0, 'Setpoint V (V)': 2.14, 'Average efficiency (%)': 33.6, 'Current density (mA/cm2)': 0.0, 'H2O2 current density (mA/cm2)': 24.5}"
20761,94771ba7-706a-489f-8fcb-e0dd4a755471,1,6.0,21600.0,15-3-2023,15:00,28.0,35.0,2.1,,,,9.63,,3356.15,3188.9,,,0.52,,,,,,6.11,6.11,"{'Cell #': 1.0, 'Average': 3273.0, 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': -6.1, 'Setpoint V (V)': 2.17, 'HFR at 1 KHz (ohm)': 0.0066, 'Average efficiency (%)': 27.5, 'Current density (mA/cm2)': 4.38, 'H2O2 current density (mA/cm2)': 20.1}"
20762,94771ba7-706a-489f-8fcb-e0dd4a755471,2,30.0,108000.0,16-3-2023,15:30,24.0,35.0,,,,,8.47,,3054.72,3054.72,,,0.49,,,,,,5.37,5.37,"{'Cell #': 1.0, 'Average': 3055.0, 'Comments': 'SS, gas meshes changed', 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': -3.3, 'Setpoint V (V)': 2.09, 'Average efficiency (%)': 24.2, 'Current density (mA/cm2)': 0.0, 'H2O2 current density (mA/cm2)': 17.6}"
20763,94771ba7-706a-489f-8fcb-e0dd4a755471,3,48.5,174600.0,17-3-2023,10:00,21.0,35.0,2.056,,,,7.23,,2740.0,2740.0,,,0.47,,,,,,4.59,4.59,"{'Cell #': 1.0, 'Average': 2740.0, 'Oxygen (LPM)': 3.0, 'Delta Eff. (%)': -3.5, 'Setpoint V (V)': 2.11, 'Average efficiency (%)': 20.7, 'Current density (mA/cm2)': 4.28, 'H2O2 current density (mA/cm2)': 15.1}"
20764,620e3411-e707-4ba9-84a9-7fc294f05196,0,1.0,3600.0,20-03-2023,16:00,41.0,35.0,1.852,,,,14.5,,5110.0,4930.0,,,0.51,,,,,,9.2,9.2,"{'Average': 5020.0, 'Comments': 'Baseline cell assembly', 'Oxygen (LPM)': 4.0, 'Delta Eff. (%)': 0.0, 'Setpoint V (V)': 2.02, 'Anode flow (ml/s)': 2.5225, 'Average efficiency (%)': 41.4}"
20765,620e3411-e707-4ba9-84a9-7fc294f05196,1,19.0,68400.0,21-03-2023,09:00,45.0,35.0,1.834,,,,15.61,,4910.0,5030.0,,,0.55,,,,,,9.9,9.9,"{'Average': 4970.0, 'Comments': 'Decreased gas flow', 'Oxygen (LPM)': 2.0, 'Delta Eff. (%)': 3.2, 'Setpoint V (V)': 2.03, 'Average efficiency (%)': 44.6}"
20766,620e3411-e707-4ba9-84a9-7fc294f05196,2,21.5,77400.0,21-03-2023,11:30,40.0,35.0,1.877,,,,14.07,,4800.0,4970.0,,,0.51,,,,,,8.92,8.92,"{'Average': 4885.0, 'Comments': 'Decreased gas flow', 'Oxygen (LPM)': 1.0, 'Delta Eff. (%)': -4.4, 'Setpoint V (V)': 2.07, 'Average efficiency (%)': 40.2}"
20767,620e3411-e707-4ba9-84a9-7fc294f05196,3,,,,,,,,,,,,,,,,,,,,,,,,,"{'Comments': 'SS, HFR: 0.0059 ohm. Removed a felt from anode side. ', 'HFR at 1 KHz (ohm)': 0.0059}"
20768,51afba02-8a4a-4445-88cf-a1cc771cdc90,0,24.0,86400.0,28-03-2023,15:00,37.0,35.0,,,,,12.86,,5860.8,5960.7,,,0.38,,,,,,8.16,8.16,"{'Average': 5911.0, 'Oxygen (LPM)': 9.0, 'Delta Eff. (%)': 0.0, 'Setpoint V (V)': 6.57, 'Average efficiency (%)': 36.7}"
